;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
1567;1620011176;anonyme;1954 entrée matérielle;Passoire;;2017-01-18;arts décoratifs,orfèvrerie;;;France,Ile de France,Paris (lieu de création);1838;M0162;;2e quart 19e siècle;;argent, ébène;;1954;;Passoire;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1569;1620011177;anonyme;1954 entrée matérielle;Cuiller (3),cuiller à moutarde (4);;2017-01-18;arts décoratifs,orfèvrerie;;;France,Ile de France,Paris (lieu de création);1838;M0162;;2e quart 19e siècle;;argent, or, doré;;1954;;Cuiller 3,cuiller à moutarde 4;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1571;1620011178;anonyme;1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;;;;;M0162;;19e siècle;;argent;;1954;;Cuiller;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1573;1620011179;DREVON Louis (orfèvre, attribué à);1954 entrée matérielle;Goûte-vin;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Dijon (lieu de création);1798,1799;M0162;Drevon : reçu maître à dijon en 1783, exerce en l'an vii, nationalité : française;4e quart 18e siècle;;argent;;1954;;Goûte-vin;FRANCE;reçu maître à dijon en 1783, exerce en l'an vii, nationalité : française;1783;;DREVON LOUIS;DREVON LOUIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1575;1620011180;ROUGEOT Denis (orfèvre);1954 entrée matérielle;Cuillère;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Côte d'Or,Beaune (lieu de création);1785;M0162;Rougeot : reçu maître à beaune en 1775 exerce en l'an vii, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuillère;FRANCE;reçu maître à beaune en 1775 exerce en l'an vii, nationalité : française;1775;;ROUGEOT DENIS;ROUGEOT DENIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1577;1620011181;anonyme;1954 entrée matérielle;Service de table,fourchette (2),cuiller (2);;2017-01-18;arts décoratifs,orfèvrerie;;;France,Bourg-en-Bresse (lieu de création);;M0162;;18e siècle;ornementation (coquille orn);argent;;1954;;Service de table,fourchette 2,cuiller 2;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1579;1620011182;anonyme;1954 entrée matérielle;Mouchette (2);;2017-01-18;arts décoratifs,orfèvrerie;;;France,Châtillon-sur-Seine (lieu de création);;M0162;;18e siècle;;argent;;1954;;Mouchette 2;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1581;1620011183;VIAL Claude (orfèvre);1954 entrée matérielle;Goûte-vin;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Lyon (lieu de création);1771 ENTRE,1772 ET;M0162;Vial : lyon, 1713, ?, ?, nationalité : française;3e quart 18e siècle;;argent;;1954;;Goûte-vin;FRANCE;lyon, 1713, ?, ?, nationalité : française;1713;;VIAL CLAUDE;VIAL CLAUDE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1583;1620011184;GUERIN Eloi (orfèvre);1954 entrée matérielle;Flambeau (4);;2017-01-18;arts décoratifs,orfèvrerie;France;STYLE ROCAILLE;France,Ile de France,Paris (lieu de création);1749,1750;M0162;Guerin : ?, 1714, ?, 1765, nationalité : française;2e quart 18e siècle;;argent;;1954;ROCAILLE;Flambeau 4;FRANCE;?, 1714, ?, 1765, nationalité : française;1714-1765;;GUERIN ELOI;GUERIN ELOI;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1585;1620011185;MONNIER Michel Louis (orfèvre, attribué à);1954 entrée matérielle;Service de table,cuiller (5);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;Monnier : trévoux, 1739, chalon sur saône, 1835;18e siècle;;argent;;1954;;Service de table,cuiller 5;FRANCE;trévoux, 1739, chalon sur saône, 1835;1739-1835;;MONNIER MICHEL LOUIS;MONNIER MICHEL LOUIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1587;1620011186;CHAIN Jean (?, orfèvre, attribué à);1954 entrée matérielle;Cuiller (2);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Semur-en-Auxois (lieu de création),France,Avallon (lieu de création);;M0162;Chain ou chin : reçu maître à avallon en 1760 etabli à semur-en-auxois en 1767 exerce à semur-en-auxois en l'an vii (1798-1799), nationalité : française;18e siècle;;argent;;1954;;Cuiller 2;FRANCE;reçu maître à avallon en 1760 etabli à semur-en-auxois en 1767 exerce à semur-en-auxois en l'an vii (1798-1799), nationalité : française;1760-1767-1798-1799;;CHAIN JEAN;CHAIN JEAN;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1589;1620011187;VIENOT Louis (orfèvre);1954 entrée matérielle;Cuiller à saupoudrer;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Côte d'Or,Beaune (lieu de création);1744 ENTRE,1750 ET;M0162;Vienot : reçu maître à beaune cité en 1758, nationalité : française;2e quart 18e siècle;;argent;;1954;;Cuiller à saupoudrer;FRANCE;reçu maître à beaune cité en 1758, nationalité : française;1758;;VIENOT LOUIS;VIENOT LOUIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1591;1620011188;BRUNOT Jean-Baptiste (artisan, orfèvre, attribué à);1954 entrée matérielle;Cuiller (2);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Dijon (lieu de création),France,Avallon (lieu de création);1798 ENTRE,1799 ET;M0162;Brunot : reçu maître en 1773 exerce en l'an vii (1798-1799), nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuiller 2;FRANCE;reçu maître en 1773 exerce en l'an vii (1798-1799), nationalité : française;1773-1798-1799;;BRUNOT JEAN BAPTISTE;BRUNOT JEAN BAPTISTE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1593;1620011189;FERRIER Claude François (artisan, orfèvre);1954 entrée matérielle;Cuiller à saupoudrer;;2017-01-18;arts décoratifs,orfèvrerie;;;France,Ile de France,Paris (lieu de création);1722,1738;M0162;Ferrier : orfèvre 'd'orfèvrerie' etabli 16 rue du bourg l'abbé poinçon insculpé en 1822 poinçon réinsculpé en 1829, nationalité : française;2e quart 18e siècle,3e quart 18e siècle;ornementation (coquille orn);argent;;1954;;Cuiller à saupoudrer;;orfèvre 'd'orfèvrerie' etabli 16 rue du bourg l'abbé poinçon insculpé en 1822 poinçon réinsculpé en 1829, nationalité : française;16-1822-1829;;FERRIER CLAUDE FRANÇOIS;FERRIER CLAUDE FRANÇOIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1595;1620012929;manufacture des Islettes (céramiste);1955 acquis, 1954 entrée matérielle;Ensemble,assiette (3);;2017-01-31;vie domestique,dinanderie,arts décoratifs;;;France,Lorraine,Meuse,Les Islettes (lieu d'exécution),Lorraine,Lunéville (lieu de création);;M0162;Manufacture des islettes : fondée en 1764;18e siècle,19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de grand feu;Ensemble de 3 assiettes en faïence à décor de grand feu;1955-1954;;Ensemble,assiette 3;;fondée en 1764;1764;ENSEMBLE DE 3 ASSIETTES EN FAIENCE A DECOR DE GRAND FEU;MANUFACTURE DES ISLETTES;MANUFACTURE DES ISLETTES;;;;;;;VIE DOMESTIQUE,DINANDERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;DINANDERIE;ARTS DÉCORATIFS;;
1597;1620012940;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Ensemble,assiette (3);;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),Europe,France,Lorraine (lieu de création),Lunéville (lieu de création),Meillonas (lieu de création);;M0162;;18e siècle;;faïence, décor de grand feu;Ensemble de trois assiettes en faïence à décor de grand feu;1955-1954;;Ensemble,assiette 3;;;;ENSEMBLE DE TROIS ASSIETTES EN FAIENCE A DECOR DE GRAND FEU;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1599;1620012942;manufacture de Meillonnas (?, manufacture);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),Meillonnas (?, lieu de création);;M0162;;18e siècle;ornementation (ornement à forme végétale, fleur);faïence, décor de grand feu;;1955-1954;;Assiette;;;;;MANUFACTURE DE MEILLONNAS;MANUFACTURE DE MEILLONNAS;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1601;1620012943;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette,élément d'ensemble;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;18e siècle,19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de grand feu;;1955-1954;;Assiette,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1603;1620012944;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette,élément d'ensemble;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;18e siècle,19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de grand feu;;1955-1954;;Assiette,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1605;1620012945;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette,élément d'ensemble;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;18e siècle,19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de grand feu;;1955-1954;;Assiette,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1607;1620012946;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de petit feu;;1955-1954;;Assiette;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1609;1620012947;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette,élément d'ensemble;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de petit feu;;1955-1954;;Assiette,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1611;1620012948;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette,élément d'ensemble;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de petit feu;;1955-1954;;Assiette,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1613;1620012949;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création);;M0162;;19e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de petit feu;;1955-1954;;Assiette;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1615;1620012950;manufacture de Meillonnas (?, manufacture);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),Meillonnas (?, lieu de création);;M0162;;18e siècle;ornementation (ornement à forme végétale, rose);faïence, décor de grand feu;;1955-1954;;Assiette;;;;;MANUFACTURE DE MEILLONNAS;MANUFACTURE DE MEILLONNAS;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1617;1620012951;manufacture de Meillonnas (?, manufacture);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),Meillonnas (?, lieu de création);;M0162;;18e siècle;;faïence, décor de grand feu;;1955-1954;;Assiette;;;;;MANUFACTURE DE MEILLONNAS;MANUFACTURE DE MEILLONNAS;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1619;1620012974;manufacture de Rambervillers (céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),France,Lorraine,Rambervilliers (lieu de création);;M0162;Manufacture créée en 1885 à rambervillers.;19e siècle;ornementation (ornement à forme végétale, fleur, homme, Chinois);faïence, décor de petit feu;;1955-1954;;Assiette;;Manufacture créée en 1885 à rambervillers.;1885;;MANUFACTURE DE RAMBERVILLERS;MANUFACTURE DE RAMBERVILLERS;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1621;1620012975;manufacture de Rambervillers (céramiste);1955 acquis, 1954 entrée matérielle;Assiette (3);;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),France,Lorraine,Rambervilliers (lieu de création);;M0162;Manufacture créée en 1885 à rambervillers.;19e siècle;ornementation (ornement à forme végétale, fleur, homme, Chinois);faïence, décor de petit feu;;1955-1954;;Assiette 3;;Manufacture créée en 1885 à rambervillers.;1885;;MANUFACTURE DE RAMBERVILLERS;MANUFACTURE DE RAMBERVILLERS;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1623;1620012989;manufacture des Islettes (?, céramiste);1955 acquis, 1954 entrée matérielle;Plat;;2017-01-31;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),France,Lorraine,Meuse,Les Islettes (?, lieu d'exécution);;M0162;Manufacture des islettes : fondée en 1764;19e siècle;;faïence, décor de petit feu;;1955-1954;;Plat;;fondée en 1764;1764;;MANUFACTURE DES ISLETTES;MANUFACTURE DES ISLETTES;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1625;1620013008;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Plat;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Nevers (lieu de création),Rouen (lieu de création);;M0162;;18e siècle,19e siècle;;faïence, décor de grand feu;;1955-1954;;Plat;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1627;1620013009;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Plat;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Nevers (lieu de création),Rouen (lieu de création);;M0162;;18e siècle,19e siècle;;faïence, décor de grand feu;;1955-1954;;Plat;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1629;1620013010;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Plat;;2017-02-01;vie domestique,céramique,arts décoratifs;;;;;M0162;;19e siècle;;faïence, décor de grand feu;;1955-1954;;Plat;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1631;1620013012;manufacture Les Islettes (manufacture, céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Est de la France (lieu de création),France,Lorraine (lieu de création);;M0162;;18e siècle,19e siècle;;faïence, décor de petit feu;;1955-1954;;Assiette;;;;;MANUFACTURE LES ISLETTES;MANUFACTURE LES ISLETTES;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1633;1620013013;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Nevers (lieu de création);;M0162;;19e siècle;;faïence, décor de petit feu;;1955-1954;;Assiette;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1635;1620013014;GOSSELIES  (faïencerie, céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Belgique,Charleroi (lieu de création);;M0162;;19e siècle;;faïence, métal;;1955-1954;;Assiette;;;;;GOSSELIES;GOSSELIES;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1637;1620013015;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Nevers (lieu de création);1785;M0162;;4e quart 18e siècle;;faïence, décor de grand feu;;1955-1954;;Assiette;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1639;1620013016;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Assiette (4);;2017-02-01;vie domestique,céramique,arts décoratifs;;;Nevers (lieu de création);;M0162;;18e siècle;;faïence;;1955-1954;;Assiette 4;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1641;1620013018;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Service à café,tasse (2),soucoupe (2);;2017-02-01;vie domestique,céramique,arts décoratifs;;;Limoges (lieu de création);;M0162;;19e siècle;;porcelaine;;1955-1954;;Service à café,tasse 2,soucoupe 2;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1643;1620013019;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Service à café,tasse (12),soucoupe (12),pot à lait,sucrier;;2017-02-01;vie domestique,céramique,arts décoratifs;;;France,Ile de France,Paris (lieu de création);;M0162;;19e siècle;;porcelaine, or, doré;;1955-1954;;Service à café,tasse 12,soucoupe 12,pot à lait,sucrier;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1645;1620013020;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Plat;;2017-02-01;vie domestique,céramique,arts décoratifs;;;Meillonnas  (lieu de création),Est de la France (lieu de création);;M0162;;18e siècle,19e siècle;;faïence, décor de petit feu;;1955-1954;;Plat;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1647;1620013021;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (10);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;verre;Service à liqueur de dix verres;1955-1954;;Service à boissons,verre 10;;;;SERVICE A LIQUEUR DE DIX VERRES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1649;1620013022;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (6);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;verre;Service à liqueur de six verres;1955-1954;;Service à boissons,verre 6;;;;SERVICE A LIQUEUR DE SIX VERRES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1651;1620013023;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (6);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;ornementation (ornement à forme végétale, raisin, oiseau, volute);verre, cristal, verre (soufflé), taille, gravure;Service à liqueur de six verres;1955-1954;;Service à boissons,verre 6;;;;SERVICE A LIQUEUR DE SIX VERRES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1653;1620013024;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (9);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;verre;Service à vin de six verres;1955-1954;;Service à boissons,verre 9;;;;SERVICE A VIN DE SIX VERRES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1655;1620013025;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (9);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;cristal, taille;Service de neuf flutes;1955-1954;;Service à boissons,verre 9;;;;SERVICE DE NEUF FLUTES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1657;1620013026;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (9);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;cristal, taille;Service de neuf flutes;1955-1954;;Service à boissons,verre 9;;;;SERVICE DE NEUF FLUTES;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
1659;1620013028;anonyme (verrier);1955 acquis, 1954 entrée matérielle;Service à boissons,verre (20);;2017-02-01;vie domestique,verrerie,arts décoratifs;;;;;M0162;;19e siècle;;verre (soufflé);Service de verres en verre soufflé;1955-1954;;Service à boissons,verre 20;;;;SERVICE DE VERRES EN VERRE SOUFFLE;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,VERRERIE,ARTS DÉCORATIFS;VIE DOMESTIQUE;VERRERIE;ARTS DÉCORATIFS;;
